"country_name","country_code","year","time_code","consumer_price","inflation","inflation_deflator","net_nat_income_percapita_NY.ADJ.NNTY.PC.CD","net_nat_income_NY.ADJ.NNTY.CD","household_expenditure_GDP","household_expenditure_per_capita","household_expenditure_ppp","gdp_percapita_NY.GDP.PCAP.PP.CD","gdp_percapita_growth_NY.GDP.PCAP.KD.ZG","gdp_deflator_NY.GDP.DEFL.ZS","life_expectancy_SP.DYN.LE00.IN","health_expenditure_SH.XPD.CHEX.PP.CD","health_expenditure_per_cap","volatility_variable","cost_variable","is_g7","is_oecd","is_global_north","is_global_south"
"Australia","AUS",-1.61748261196218,"YR2009",-0.503054989308452,-0.320335865938611,0.134510554211582,0.575641989130516,-0.445911680251347,-0.112580141632473,-0.848648620817462,-0.606299959871581,0.0996144703109705,-0.500962852748494,-0.57671147911488,0.719458773259962,0.0869059337812927,0.110471013617238,-0.331911651339058,-0.842960858622432,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",-1.38641366739616,"YR2010",-0.452303235766455,-0.124001369258552,-0.341585312584882,0.980489192312174,-0.397300546342374,0.0483685677121345,0.0427470443859831,-0.598438154075288,0.0498692459263175,-0.266276585857109,-0.566371289118332,0.750150907461373,0.0490250947835696,0.127099972180875,-0.521216498093,-0.872094459906001,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",-1.15534472283013,"YR2011",-0.393170458703769,-0.0580255769292119,0.291661506525669,1.44219643066008,-0.341294168577596,-0.121533521184776,0.214483927879185,-0.587007464991433,0.190170580025761,-0.166514073549894,-0.510147443002005,0.790743730114847,0.0846878586467059,0.200932543407064,-0.433747077272323,-0.875517177422713,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",-0.924275778264104,"YR2012",-0.360577589456611,-0.321762652951194,-0.259807650263779,1.74749736636841,-0.300464732871372,-0.154454463690746,-0.155375758668518,-0.580869980818089,0.234677583097392,0.152221096351833,-0.492762696549224,0.821435864316258,0.126414269467116,0.207481866511346,-0.543759216049776,-0.878153579566412,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",-0.693206833698078,"YR2013",-0.314481960092774,-0.204171639677024,-0.506836609716074,1.76297706915355,-0.292398704324212,-0.0349046287900115,-0.379931980186794,-0.570531848692262,0.397089968668705,-0.20693520978851,-0.49436623683526,0.842227310065602,0.149547207709879,0.358054689062833,-0.389187485403941,-0.866755440218641,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",-0.462137889132052,"YR2014",-0.266523881057683,-0.197662530551862,-0.310021653588435,1.46373097421073,-0.32250424707112,-0.0103181079398316,-0.235402490582908,-0.564251245351359,0.448602311672617,-0.143149392131104,-0.48061370242574,0.872919444267014,0.479098507541766,0.558874211383617,-0.579607791699778,-0.845629297534424,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",-0.231068944566026,"YR2015",-0.236724686317424,-0.365302696758739,-0.564571370913125,1.21796178293157,-0.347297539496569,0.136715645284397,-0.135385044493995,-0.55908302127745,0.415359636401927,-0.241351529264474,-0.48680427990823,0.893215855593755,0.585215293247876,0.609162570988522,-0.361878363199744,-0.791847297994206,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",0,"YR2016",-0.211116003337522,-0.404900100385593,-0.569501056846466,0.901462130866264,-0.381207310938262,0.244275730146362,-0.159243974421041,-0.550594367127045,0.467471397700324,-0.117506725491408,-0.493343771443345,0.903116544045823,0.558018540021217,0.710086070747376,-0.573402002599884,-0.71970293384789,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",0.231068944566026,"YR2017",-0.171538947823109,-0.289953529473022,-0.0280590382279734,1.07566488898908,-0.354837729548654,0.0782216789463406,-0.234307075404859,-0.547881472868185,0.526293918614001,-0.275639534180824,-0.457558100391214,0.913512266920493,0.567125622826453,0.739993507666159,-0.506812211052904,-0.684989897574249,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",0.462137889132052,"YR2018",-0.131961892308714,-0.296327849762476,-0.251865306848091,1.19999812326874,-0.334486223919362,0.0455701201711883,-0.106107805505195,-0.53903519702891,0.622261373241815,-0.0653293824206055,-0.438580864512105,0.96400577802604,0.54792561392372,0.819406396159971,-0.635760617300798,-0.631800255156219,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",0.693206833698078,"YR2019",-0.0979721858081163,-0.347777872960137,-0.0512631593698744,1.07926434025999,-0.345150725347669,-0.0914591708779394,-0.384740338948536,-0.532736000086586,0.754064105730211,-0.257481548626784,-0.402707939921087,0.994697912227449,0.596596754137706,0.843239122633799,-0.592103266193936,-0.577436514527437,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",0.924275778264104,"YR2020",-0.0798133015132659,-0.478504458280256,-0.249797252412254,0.957294938340278,-0.357107386068115,-0.30259269766925,-1.51059782066446,-0.533450589288681,0.823479712281411,-0.829302263059703,-0.382529107226661,1.05558714620767,0.737818803471826,1.06983011232112,-0.513022391121249,-0.769838257785167,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",1.15534472283013,"YR2021",-0.0178868499436812,-0.133316393754069,-0.0999655909482531,1.28774398666872,-0.313622837436464,-0.472187299432998,-0.236186125590255,-0.525343265940255,1.00018417983025,0.109454429696663,-0.348945660899578,1.0758835575344,0.695186064875515,1.28387652513967,-0.449830096601644,-0.880876970865383,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",1.38641366739616,"YR2022",0.128781061668509,0.505063709376392,0.413784504939194,-0.748797202342677,-0.55668544436255,-0.694962397057441,0.30010817948768,-0.495556547390823,1.42181358102848,0.380673686671764,-0.268294612585693,1.05558714620767,-0.518044455013881,-0.743061888891871,-0.624075558853601,-0.889155775087669,FALSE,TRUE,TRUE,FALSE
"Australia","AUS",1.61748261196218,"YR2023",0.261480600746206,0.334424195699884,0.330550705202828,-0.748797202342677,-0.55668544436255,-0.529164485735466,0.490337058651643,-0.464252394524684,1.63075926490775,-0.181519978180572,-0.189849518218509,-1.2558402052132,-0.518044455013881,-0.743061888891871,-0.618031850910264,-0.580656982557787,FALSE,TRUE,TRUE,FALSE
"Brazil","BRA",-1.61748261196218,"YR2009",-0.538160946454908,0.213090093060852,0.431088846255972,-0.970292106060975,-0.266894748769849,0.820826691144864,0.436001328405029,-0.324513318178371,-1.32578613088707,-0.736414264104568,-0.289530308724624,-1.02520094300965,0.0412799670103627,-0.875630789487459,-0.195708923080896,-0.658392744043854,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",-1.38641366739616,"YR2010",-0.452303235766455,0.238879378716093,0.570309150433359,-0.857203446743541,-0.15244828689469,0.619376108021123,0.878556638893734,-0.28398822940373,-1.26960854977183,1.43065995892733,-0.189849518218509,-0.977707340505082,-0.0955484468375558,-0.866587867299367,-0.264057676646805,-0.779830819602248,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",-1.15534472283013,"YR2011",-0.33352312242802,0.512311940998037,0.5571697956279,-0.776719950108068,-0.0685662730588482,0.625305013028027,0.544240507858166,-0.242383306141152,-1.22936545254687,0.439526515773295,-0.0831162424107818,-0.945030118269032,-0.143317032687057,-0.852599074231263,-0.285328686844912,-0.782996634912823,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",-0.924275778264104,"YR2012",-0.230392248675258,0.301306110666563,0.510071424837529,-0.82964179647599,-0.116596977356634,0.757544130620154,0.225754191263297,-0.187620885764232,-1.23009111678251,-0.137204606109454,0.0272775145008582,-0.902610618596146,-0.159084439215793,-0.855556433505739,-0.391476719245075,-0.661903367841168,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",-0.693206833698078,"YR2013",-0.105578572403354,0.438356141052097,0.455058148866841,-0.823513587263076,-0.106000733237275,0.792797735358792,0.219154984996905,-0.171546345171107,-1.20233425403414,0.167834692259105,0.139860691922518,-0.82832575314028,-0.0859823954812446,-0.823754023257781,-0.327692547485784,-0.715281947016769,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",-0.462137889132052,"YR2014",0.0296438260178257,0.459702212716804,0.497976849902645,-0.835973834972175,-0.114159038287727,0.93738972452583,-0.0750845524933641,-0.149521781333277,-1.19677625271239,-0.534237431222888,0.266410793282022,-0.749575677192533,0.0417779690680728,-0.79321266858065,-0.32875393316629,-0.671768300975583,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",-0.231068944566026,"YR2015",0.234781613510262,0.92192466098511,0.462786568418036,-0.985976326805574,-0.263279237096752,1.05419861194909,-1.39407585555798,-0.174293244486911,-1.25003317343023,-1.66913158279073,0.398011491035977,-0.744298610247581,0.197844558049348,-0.795732298902495,-0.43461747002922,-0.377547316467841,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",0,"YR2016",0.451241370593399,0.872164732420896,0.530201714798754,-0.991889474448708,-0.266337010572943,1.08751154324041,-1.53732296576553,-0.191859964704301,-1.27715388717461,-1.58514061291588,0.549624254682388,-0.721972557788168,0.276877771569748,-0.798246797543163,-0.501414221918094,-0.239889060392346,FALSE,FALSE,FALSE,TRUE
"Brazil","BRA",0.231068944566026,"YR2017",0.54406456845284,-0.0336343094883623,-0.0257760180498602,-0.929169536256501,-0.19832617553535,1.11572838754694,-0.12170170867238,-0.183492372606543,-1.26392567958369,-0.281691464872053,0.623879575844594,-0.643831374180221,0.36884971461272,-0.770747832231986,-0.42287926569956,-0.48864408973162,FALSE,FALSE,FALSE,TRUE
